DateKey,Date,Year,Quarter,MonthNumber,Month,YearMonth,FiscalYear,FiscalQuarter
20171223,2017-12-23,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171224,2017-12-24,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171225,2017-12-25,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171226,2017-12-26,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171227,2017-12-27,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171228,2017-12-28,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171229,2017-12-29,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171230,2017-12-30,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171231,2017-12-31,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20180101,2018-01-01,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180102,2018-01-02,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180103,2018-01-03,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180104,2018-01-04,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180105,2018-01-05,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180106,2018-01-06,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180107,2018-01-07,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180108,2018-01-08,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180109,2018-01-09,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180110,2018-01-10,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180111,2018-01-11,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180112,2018-01-12,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180113,2018-01-13,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180114,2018-01-14,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180115,2018-01-15,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180116,2018-01-16,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180117,2018-01-17,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180118,2018-01-18,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180119,2018-01-19,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180120,2018-01-20,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180121,2018-01-21,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180122,2018-01-22,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180123,2018-01-23,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180124,2018-01-24,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180125,2018-01-25,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180126,2018-01-26,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180127,2018-01-27,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180128,2018-01-28,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180129,2018-01-29,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180130,2018-01-30,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180131,2018-01-31,2018,Q1,1,January,2018-01,FY2018,FY2018 Q3
20180201,2018-02-01,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180202,2018-02-02,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180203,2018-02-03,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180204,2018-02-04,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180205,2018-02-05,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180206,2018-02-06,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180207,2018-02-07,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180208,2018-02-08,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180209,2018-02-09,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180210,2018-02-10,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180211,2018-02-11,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180212,2018-02-12,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180213,2018-02-13,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180214,2018-02-14,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180215,2018-02-15,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180216,2018-02-16,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180217,2018-02-17,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180218,2018-02-18,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180219,2018-02-19,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180220,2018-02-20,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180221,2018-02-21,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180222,2018-02-22,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180223,2018-02-23,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
20180224,2018-02-24,2018,Q1,2,February,2018-02,FY2018,FY2018 Q3
